Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
,Unique,(),(),Instruction Mode,Instructor,Status,Flags,Core
SDS  380D STATISTICAL METHODS II         ,56710,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('UTC 4.132',)",Face-to-face,"HERSH, MATTHEW A",open,,
SDS  384 6-DESIGN & ANLY OF EXPERIMENTS         ,56730,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('ETC 2.132',)",Face-to-face,"VISWANATHAN, BINDU",open,,
SLH  367K INTRO SP/LNG DIS ASSMT/TRT CHL         ,10010,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('CMB 2.104',)",Face-to-face,"GKALITSIOU, ZOI",open; reserved,Writing,
SLH  393M ACQUIRED COGNIT COMM DISORDS I         ,10130,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('DMC 4.212',)",Face-to-face,"HENRY, MAYA L",open,,
SOC  308J ROMANTIC RLTNS/FAM FORMATN         ,43155,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('RLP 0.128',)",Face-to-face,"REGNERUS, MARK",open,,Social and Behavioral Sciences
SOC  320C CANCERLAND         ,43200,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('GAR 0.132',)",Face-to-face,"OSBAKKEN, STEPHANIE L",open; reserved,Writing,
SOC  321L SOCIOLOGY OF EDUCATION         ,43220,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('RLP 1.104',)",Face-to-face,"IRIZARRY, YASMIYN",open,,
SOC  323S BUILDING SUSTAINABLE CITY         ,43245,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('RLP 0.118',)",Face-to-face,"SWEARINGEN, WILLIAM S",open; reserved,EthicsWriting,
SOC  325L SOC OF CRIMINAL JUSTICE         ,43265,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('RLP 0.102',)",Face-to-face,"KELLY, WILLIAM R",open,,
SOC  341C MEDICAL SOCIOLOGY         ,43310,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('RLP 0.112',)",Face-to-face,"CORTEZ, DAGOBERTO",open,,
SOC  342N SOCIAL INEQUALITY/HEALTH IN US         ,43315,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('RLP 2.606',)",Face-to-face,"MUSICK, MARC A",open; reserved,,
SOC  379M SOCIOLOGICAL THEORY         ,43350,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('RLP 1.106',)",Face-to-face,"YOUNG, MICHAEL P",open,,
SPN  327C ADV GRAM & WRITING IN CONTEXT         ,44140,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('BEN 1.104',)",Face-to-face,"CORREDOR, BORIS",open,Global CulturesWriting,
SPN  330L INTRO LANG AND LING IN SOCIETY         ,44205,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","(' ',)",Face-to-face,"TORIBIO, ALMEIDA J",cancelled,Global Cultures,
SPN  367C SPANISH HLTH CARE PROFESSNS         ,44245,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('BEN 1.124',)",Face-to-face,"LE CALVEZ HOUSE, GAELLE",open,WritingCultural Diversity,
SPN  367D BUSINESS IN HISPAN LIFE/CUL         ,44265,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('BEN 1.126',)",Face-to-face,"HARNEY, MICHAEL P",open,Global Cultures,
SPN  369C AFRICAN DIASPORAS         ,44285,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('MEZ 1.102',)",Face-to-face,"ARROYO MARTINEZ, JOSSIANN",open,,
SPN  377C WRIT ON EDGE: LIT & INCRCETION         ,44299,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('CAL 200',)",Face-to-face,"POLIT, GABRIELA",open,,
STA  380 TIME SERIES FORECASTING         ,05270,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('RRH 4.314',)",Face-to-face,"SHIVELY, THOMAS S",open; reserved,,
T C  302 GHOST IMAGE: PHOTOGRAPHIC REP         ,40940,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('ART 3.210',)",Face-to-face,"DURST, JOHN E",open,Writing,First-Year Signature Course
T C  302 GLOB PROTECTN FOR FREE SPEECH         ,40945,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('CMA 5.190',)",Face-to-face,"SANDERS, AMY K",open,Writing,First-Year Signature Course
"T C  303D PLAN II WORLD LIT, PART II         ",40970,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('CAL 422',)",Face-to-face,"GRUMBERG, KAREN",open,Writing,Humanities
"T C  303D PLAN II WORLD LIT, PART II         ",40975,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('PAR 305',)",Face-to-face,"PORTO, LITO ELIO",open,Writing,Humanities
T D  323F ACTING SHAKESPEARE         ,25835,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('WIN 1.108',)",Face-to-face,"GORDON, JUSTIN",open; reserved,,
T D  354T DIY SYNTHESIZERS         ,26023,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('PAC 3.204',)",Face-to-face,"EVANS, KYLE ELLIS",open; reserved,,
T D  357T COLLECTIVE CREATION THEATRE         ,26083,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('WIN 2.116',)",Face-to-face,"CASTILLO, HENRY",open; reserved,,
T D  357T CREATING A THEATER COMPANY         ,26085,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('WIN 2.112',)",Face-to-face,"DARLINGTON, MADGE",cancelled,,
T D  387D QUEER BLACK FEMINIST PERF PXIS         ,26140,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('WIN 1.134',)",Face-to-face,"MONROE, RAQUEL L",cancelled,,
TXA  353D APPAREL DESIGN MENTORSHIP         ,52785,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('GEA 212',)",Face-to-face,"MUSGRAVE, AMY R",open,,
U D  383M CARTOGRPHIES OF INTRCONNECTION         ,01765,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('SUT 3.112',)",Face-to-face,"SALCEDO ORTIZ, JUANA",closed,,
UGS  302 HOW TO CHANGE THE WORLD         ,60730,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('SSW 2.130',)",Face-to-face,"PADILLA, YOLANDA C",open,WritingEthics,First-Year Signature Course
UGS  302 SEX IN THE EUROPEAN NOVEL         ,60800,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('BUR 228',)",Face-to-face,"WILKINSON, LYNN R",open,Writing,First-Year Signature Course
UGS  302 THE LAND BEFORE US         ,60840,"(('TTH', '12:30 p.m.-2:00 p.m.'),)","('RLP 0.104',)",Face-to-face,"BSUMEK, ERIKA M",open,Independent InquiryWriting,First-Year Signature Course
