Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
,Unique,(),(),Instruction Mode,Instructor,Status,Flags,Core
M S  339K ADVANCED MILITARY SCIENCE IV-B         ,40105,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('RLP 5.410',)",Face-to-face,"JONES, TIMOTHY M",open,,
MAS  301 INTR MEX AMER LATINA/O STUDIES         ,39175,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('PMA 6.112',)",Face-to-face,"SALAZAR, ALEXANDRA NICHOL",open,Cultural Diversity,Social and Behavioral Sciences
MES  301L MID EAST: ADJ/CHG MDRN TIME         ,39425,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('RLP 1.104',)",Face-to-face,"AGHAIE, KAMRAN S",open,Global Cultures,
MSE  386P 1-INTRO TO PHASE TRANSFORMATNS         ,17805,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('ECJ 1.308',)",Face-to-face,"MANGOLINI, FILIPPO",open,,
MUS  201N BEG MUS PERF: SEC-SEM CLS PIA         ,21905,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('MRH 4.194',)",Face-to-face,"DENENBURG, MARGARITA",open; reserved,,
MUS  605B MUSICIANSHIP         ,22020,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('TTH', '8:30 a.m.-9:30 a.m.'))","('MRH M3.114', 'MRH 2.610')",Face-to-face,"TURCI, JOHN R",open; reserved,,
MUS  605B MUSICIANSHIP         ,22025,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('TTH', '10:00 a.m.-11:00 a.m.'))","('MRH 2.610', 'MRH 5.138')",Face-to-face,"TURCI, JOHN R",open; reserved,,
MUS  605B MUSICIANSHIP         ,22030,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('TTH', '11:00 a.m.-12:00 p.m.'))","('MRH 2.610', 'MRH 4.116')",Face-to-face,"TURCI, JOHN R",open; reserved,,
MUS  388V SCORE READING         ,22960,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('MRH 4.116',)",Face-to-face,"SHARLAT, YEVGENIY",open; reserved,,
N S  329 NAVIGATION AND NAVAL OPS I         ,40185,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('RLP 5.402',)",Face-to-face,"YOUNG, ROBERT DANIEL",open,,
LIN  306 INTRO TO THE STUDY OF LANGUAGE         ,38925,"(('MWF', '9:00 a.m.-10:00 a.m.'),)","('RLP 0.112',)",Face-to-face,"WOODBURY, ANTHONY C",open,Global Cultures,Social and Behavioral Sciences
M  408C DIFFEREN AND INTEGRAL CALCULUS         ,53155,"(('MWF', '9:00 a.m.-10:00 a.m.'), ('TTH', '10:00 a.m.-11:00 a.m.'))","('PMA 4.102', 'UTC 1.132')",Face-to-face,,open,Quantitative Reasoning,Mathematics
