Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
GRG  460G ENVIR GEOGRAPHIC INFO SYSTEMS         ,36275,"(('MW', '1:00 p.m.-2:30 p.m.'), ('M', '9:00 a.m.-11:00 a.m.'))",RLP 0.112RLP 1.404,Face-to-face,"GARRISON, THOMAS",open; reserved,Quantitative Reasoning,
GRG  460G ENVIR GEOGRAPHIC INFO SYSTEMS         ,36280,"(('MW', '1:00 p.m.-2:30 p.m.'), ('W', '9:00 a.m.-11:00 a.m.'))",RLP 0.112RLP 1.404,Face-to-face,"GARRISON, THOMAS",open; reserved,Quantitative Reasoning,
GRG  460G ENVIR GEOGRAPHIC INFO SYSTEMS         ,36285,"(('MW', '1:00 p.m.-2:30 p.m.'), ('T', '12:00 p.m.-2:00 p.m.'))",RLP 0.112RLP 1.404,Face-to-face,"GARRISON, THOMAS",open; reserved,Quantitative Reasoning,
GRG  460G ENVIR GEOGRAPHIC INFO SYSTEMS         ,36290,"(('MW', '1:00 p.m.-2:30 p.m.'), ('TH', '12:00 p.m.-2:00 p.m.'))",RLP 0.112RLP 1.404,Face-to-face,"GARRISON, THOMAS",open; reserved,Quantitative Reasoning,
HIN  507 FIRST-YEAR HINDI II         ,32195,"(('MW', '1:00 p.m.-2:00 p.m.'), ('TTH', '12:30 p.m.-2:00 p.m.'))",PAR 310MEZ 2.124,Face-to-face,"SANCHEZ LOZOYA, ZELTZYN R",open,,
SDS  320E ELEMENTS OF STATISTICS         ,56580,"(('MW', '1:00 p.m.-2:30 p.m.'), ('T', '4:00 p.m.-5:00 p.m.'))",BEL 328FAC 101B,Face-to-face,"PARAST, LAYLA",open,Independent InquiryEthicsQuantitative Reasoning,Mathematics
SDS  320E ELEMENTS OF STATISTICS         ,56585,"(('MW', '1:00 p.m.-2:30 p.m.'), ('T', '5:00 p.m.-6:00 p.m.'))",BEL 328FAC 101B,Face-to-face,"PARAST, LAYLA",open,Independent InquiryEthicsQuantitative Reasoning,Mathematics
SDS  320E ELEMENTS OF STATISTICS         ,56590,"(('MW', '1:00 p.m.-2:30 p.m.'), ('T', '6:00 p.m.-7:00 p.m.'))",BEL 328FAC 101B,Face-to-face,"PARAST, LAYLA",open,Independent InquiryEthicsQuantitative Reasoning,Mathematics
SDS  320E ELEMENTS OF STATISTICS         ,56595,"(('MW', '1:00 p.m.-2:30 p.m.'), ('TH', '9:00 a.m.-10:00 a.m.'))",UTC 4.112FAC 101B,Face-to-face,"BLONDEAU, LAUREN ALEXANDR",open,Independent InquiryEthicsQuantitative Reasoning,Mathematics
SDS  320E ELEMENTS OF STATISTICS         ,56600,"(('MW', '1:00 p.m.-2:30 p.m.'), ('TH', '10:00 a.m.-11:00 a.m.'))",UTC 4.112FAC 101B,Face-to-face,"BLONDEAU, LAUREN ALEXANDR",open,Independent InquiryEthicsQuantitative Reasoning,Mathematics
