Class Name,Unique,Day + Hour,Room,Instruction Mode,Instructor,Status,Flags,Core
BIO  311D INTRODUCTORY BIOLOGY II         ,47585,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('TH', '2:00 p.m.-3:00 p.m.'))",WEL 2.122JES A216A,Face-to-face,"BUSKIRK, RUTH E",open,,"Natural Science and Technology, Part I"
BIO  311D INTRODUCTORY BIOLOGY II         ,47590,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('W', '3:00 p.m.-4:00 p.m.'))",WEL 2.122GDC 2.410,Face-to-face,"BUSKIRK, RUTH E",open,,"Natural Science and Technology, Part I"
BIO  311D INTRODUCTORY BIOLOGY II         ,47595,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('TH', '3:30 p.m.-4:30 p.m.'))",WEL 2.122JES A216A,Face-to-face,"BUSKIRK, RUTH E",open,,"Natural Science and Technology, Part I"
BIO  311D INTRODUCTORY BIOLOGY II         ,47600,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('W', '4:00 p.m.-5:00 p.m.'))",WEL 2.122GDC 5.304,Face-to-face,"BUSKIRK, RUTH E",open,,"Natural Science and Technology, Part I"
BIO  325H GENETICS: HONORS         ,48090,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('W', '1:00 p.m.-2:00 p.m.'))",WEL 2.110JES A217A,Face-to-face,"KIM, GOHEUN",open,Ethics,"Natural Science and Technology, Part I"
BIO  325H GENETICS: HONORS         ,48095,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('W', '2:00 p.m.-3:00 p.m.'))",WEL 2.110JES A217A,Face-to-face,"KIM, GOHEUN",open,Ethics,"Natural Science and Technology, Part I"
BIO  325H GENETICS: HONORS         ,48100,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('W', '4:00 p.m.-5:00 p.m.'))",WEL 2.110GDC 2.410,Face-to-face,"KIM, GOHEUN",open,Ethics,"Natural Science and Technology, Part I"
BIO  325H GENETICS: HONORS         ,48105,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('W', '5:00 p.m.-6:00 p.m.'))",WEL 2.110GDC 2.410,Face-to-face,"KIM, GOHEUN",open,Ethics,"Natural Science and Technology, Part I"
BIO  325T HUMAN GENETICS         ,48180,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('W', '2:00 p.m.-3:00 p.m.'))",WEL 2.310BIO 301,Face-to-face,"VOKES, STEVEN A",open; reserved,,
BIO  325T HUMAN GENETICS         ,48185,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('W', '4:00 p.m.-5:00 p.m.'))",WEL 2.310PHR 2.116,Face-to-face,"VOKES, STEVEN A",open; reserved,,
BIO  326M INTRO MEDICAL MICROBIO/IMMUNOL         ,48265,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('T', '2:00 p.m.-3:00 p.m.'))",BUR 212JES A215A,Face-to-face,"SAXENA, PRATIBHA",open,,"Natural Science and Technology, Part I"
BIO  326M INTRO MEDICAL MICROBIO/IMMUNOL         ,48270,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('T', '3:30 p.m.-4:30 p.m.'))",BUR 212WAG 208,Face-to-face,"SAXENA, PRATIBHA",open,,"Natural Science and Technology, Part I"
C E  311K INTRO TO COMPUTER METHODS         ,15810,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('M', '2:00 p.m.-4:00 p.m.'))",CPE 2.212ECJ 2.210,Face-to-face,"LILJESTRAND, HOWARD M",open; reserved,,
C E  311K INTRO TO COMPUTER METHODS         ,15815,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('M', '4:00 p.m.-6:00 p.m.'))",CPE 2.212ECJ 2.210,Face-to-face,"LILJESTRAND, HOWARD M",open; reserved,,
ARA  611C INTENSIVE ARABIC II         ,39635,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('TTH', '12:30 p.m.-2:00 p.m.'))",MEZ 1.206GDC 5.304,Face-to-face,,open,,
ARA  621L INTENSIVE ARABIC IV         ,39660,"(('MWF', '11:00 a.m.-12:00 p.m.'), ('TTH', '11:00 a.m.-12:30 p.m.'))",MEZ 1.204MEZ 1.204,Face-to-face,,closed,,
